,ProjectID,BuildingID,Number,Street,Borough,Postcode,Latitude,Longitude,Longitude(Internal),Latitude(Internal),LowIncomeUnits
404,68604,980038.0,25-40,31 STREET,Queens,11102.0,40.769659999999995,-73.91855699999999,-73.91901899999999,40.76961,0
405,68602,220772.0,2250,CLARENDON ROAD,Brooklyn,11226.0,40.642793,-73.95595300000001,-73.95566099999999,40.642540000000004,0
406,68603,972819.0,783,KNICKERBOCKER AVENUE,Brooklyn,11207.0,40.69292,-73.907984,-73.90767,40.693059999999996,0
407,67446,121225.0,135,WEST 183 STREET,Bronx,10453.0,40.860513,-73.91072700000001,-73.910427,40.860659999999996,51
408,67448,123085.0,1565,WHITE PLAINS ROAD,Bronx,10462.0,40.839549,-73.863864,-73.86418499999999,40.83972,48
409,67449,60449.0,1975,DAVIDSON AVENUE,Bronx,10453.0,40.852338,-73.909864,-73.910279,40.85221,33
410,67450,116888.0,2015,DR M L KING JR BOULEVARD,Bronx,10453.0,40.855321999999994,-73.910742,-73.91098000000001,40.855540000000005,63
411,67451,97612.0,2733,MORRIS AVENUE,Bronx,10468.0,40.868281,-73.895347,-73.895336,40.86871,37
412,67571,115640.0,1411,TOWNSEND AVENUE,Bronx,10452.0,40.840212,-73.916562,-73.916623,40.84053,59
413,67573,65205.0,760,EAST 169 STREET,Bronx,10456.0,40.830905,-73.899879,-73.899966,40.83068,13
414,67605,64293.0,464,EAST 159 STREET,Bronx,10451.0,40.822286,-73.91239,-73.912452,40.82209,30
415,65277,90996.0,1965,LAFAYETTE AVENUE,Bronx,10473.0,40.822205,-73.856893,-73.85677700000001,40.82262,335
416,65212,985707.0,645,GATES AVENUE,Brooklyn,11221.0,40.687345,-73.940865,-73.940108,40.68776,45
419,68600,989185.0,141,UTICA AVENUE,Brooklyn,11213.0,40.673925,-73.930625,-73.93037199999999,40.67391,0
420,68601,982717.0,85,STANHOPE STREET,Brooklyn,11221.0,40.69661,-73.924467,-73.92453499999999,40.69688,0
421,68601,982718.0,83,STANHOPE STREET,Brooklyn,11221.0,40.696568,-73.92450600000001,-73.924589,40.69682,0
422,67437,837775.0,158,EAST 122 STREET,Manhattan,10035.0,40.802240999999995,-73.938372,-73.938603,40.8021,59
424,68598,351312.0,755,PARK AVENUE,Brooklyn,11206.0,40.698068,-73.945414,,,0
425,68599,989308.0,840,MORRIS PARK AVENUE,Bronx,10462.0,40.846208000000004,-73.861334,-73.861046,40.84599,0
426,67134,34782.0,111,WEST 71 STREET,Manhattan,10023.0,40.776911,-73.979694,-73.979535,40.77706,111
427,68596,983742.0,1503,JEFFERSON AVENUE,Brooklyn,11237.0,40.697012,-73.90767199999999,-73.907942,40.69701,0
428,68597,983743.0,406,CORNELIA STREET,Brooklyn,11237.0,40.697402000000004,-73.908425,-73.908321,40.69722,0
429,66858,982995.0,2628,FULTON STREET,Brooklyn,11207.0,40.677122999999995,-73.89774200000001,-73.897886,40.67688,175
431,68595,973841.0,57-27,GRANGER STREET,Queens,11368.0,40.7391,-73.85687,-73.85661999999999,40.73924,0
432,65298,985028.0,1675,WESTCHESTER AVENUE,Bronx,10472.0,40.83023,-73.872089,-73.872403,40.83054,211
433,66264,986518.0,7-9,EAST 30 STREET,Manhattan,10016.0,40.745684999999995,-73.98581300000001,-73.985535,40.74577,2
434,68594,33025.0,520,WEST 43 STREET,Manhattan,10036.0,40.760822999999995,-73.996246,-73.996379,40.76054,0
436,53680,985151.0,127,GATEWAY DRIVE,Brooklyn,11239.0,40.653855,-73.877747,-73.876754,40.652879999999996,8
437,53680,985786.0,129,GATEWAY DRIVE,Brooklyn,11239.0,40.653836,-73.87774300000001,-73.87668199999999,40.652809999999995,8
438,53680,985789.0,392,SCHROEDERS AVENUE,Brooklyn,11239.0,40.653182,-73.876919,-73.877038,40.65298,8
439,53680,985790.0,396,SCHROEDERS AVENUE,Brooklyn,11239.0,40.653215,-73.876847,-73.87690500000001,40.65302,8
440,53680,985791.0,398,SCHROEDERS AVENUE,Brooklyn,11239.0,40.653228000000006,-73.876814,-73.8768,40.65307,7
441,53680,985792.0,400,SCHROEDERS AVENUE,Brooklyn,11239.0,40.653245,-73.876778,-73.876688,40.6531,8
442,53680,985793.0,402,SCHROEDERS AVENUE,Brooklyn,11239.0,40.653258,-73.876746,-73.876573,40.65313,8
443,53680,985794.0,389,SCHROEDERS AVENUE,Brooklyn,,,,-73.877337,40.653290000000005,8
444,53680,985795.0,401,SCHROEDERS AVENUE,Brooklyn,11239.0,40.653105,-73.877135,-73.87720999999999,40.65334,8
445,53680,985796.0,1123,ASHFORD STREET,Brooklyn,11239.0,40.654354,-73.874747,-73.873263,40.655590000000004,8
446,53680,985797.0,1121,ASHFORD STREET,Brooklyn,11239.0,40.654423,-73.874797,-73.873263,40.655590000000004,8
447,53680,985798.0,1119,ASHFORD STREET,Brooklyn,11239.0,40.654492,-73.874851,-73.873263,40.655590000000004,8
448,53680,985799.0,1117,ASHFORD STREET,Brooklyn,11239.0,40.65456,-73.874902,-73.873263,40.655590000000004,8
449,53680,985800.0,1115,ASHFORD STREET,Brooklyn,11239.0,40.654629,-73.87495200000001,-73.873263,40.655590000000004,8
450,53680,985801.0,11113,ASHFORD STREET,Brooklyn,,,,,,8
451,53680,985802.0,1111,ASHFORD STREET,Brooklyn,11239.0,40.654765999999995,-73.875056,-73.873263,40.655590000000004,8
452,53680,985803.0,498,SCHROEDERS AVENUE,Brooklyn,11239.0,40.654537,-73.873752,-73.873263,40.655590000000004,8
453,53680,985804.0,500,SCHROEDERS AVENUE,Brooklyn,11239.0,40.654562,-73.873694,-73.873263,40.655590000000004,8
454,53680,985805.0,502,SCHROEDERS AVENUE,Brooklyn,11239.0,40.654584,-73.873637,-73.873263,40.655590000000004,8
455,53680,985806.0,504,SCHROEDERS AVENUE,Brooklyn,11239.0,40.654608,-73.873583,-73.873263,40.655590000000004,8
456,53680,986184.0,516,SCHROEDERS AVENUE,Brooklyn,11239.0,40.654751,-73.873243,-73.873263,40.655590000000004,79
457,67103,983770.0,214,WEST 72 STREET,Manhattan,10023.0,40.779041,-73.982665,-73.982715,40.77875,1
458,68593,988645.0,1654,PARKER STREET,Bronx,10462.0,40.839496000000004,-73.852013,,,0
459,68592,216111.0,651,BUSHWICK AVENUE,Brooklyn,11221.0,40.697702,-73.932951,-73.932637,40.69782,0
