,C/A,UNIT,SCP,STATION,LINENAME,DATE,ENTRIES,EXITS,PREV_DATE,PREV_ENTRIES,PREV_EXITS,DIFF_ENTRIES,DIFF_EXITS
27099,R245,R051,00-05-02,59 ST,456NQRW,09/19/2019,7676063,1451527,09/18/2019,7674845.0,1451273.0,1218.0,254.0
27100,R245,R051,00-05-02,59 ST,456NQRW,09/20/2019,7677368,1451781,09/19/2019,7676063.0,1451527.0,1305.0,254.0
27102,R245A,R051,01-00-00,59 ST,456NQRW,09/15/2019,13014750,4631807,09/14/2019,13012730.0,4631472.0,2020.0,335.0
27103,R245A,R051,01-00-00,59 ST,456NQRW,09/16/2019,13016463,4632140,09/15/2019,13014750.0,4631807.0,1713.0,333.0
27104,R245A,R051,01-00-00,59 ST,456NQRW,09/17/2019,13020183,4633757,09/16/2019,13016463.0,4632140.0,3720.0,1617.0
27105,R245A,R051,01-00-00,59 ST,456NQRW,09/18/2019,13024106,4635381,09/17/2019,13020183.0,4633757.0,3923.0,1624.0
27106,R245A,R051,01-00-00,59 ST,456NQRW,09/19/2019,13028085,4636915,09/18/2019,13024106.0,4635381.0,3979.0,1534.0
27107,R245A,R051,01-00-00,59 ST,456NQRW,09/20/2019,13031969,4638529,09/19/2019,13028085.0,4636915.0,3884.0,1614.0
27109,R245A,R051,01-00-01,59 ST,456NQRW,09/15/2019,355282,206725,09/14/2019,353636.0,206124.0,1646.0,601.0
27110,R245A,R051,01-00-01,59 ST,456NQRW,09/16/2019,356655,207251,09/15/2019,355282.0,206725.0,1373.0,526.0
27111,R245A,R051,01-00-01,59 ST,456NQRW,09/17/2019,359804,209135,09/16/2019,356655.0,207251.0,3149.0,1884.0
27112,R245A,R051,01-00-01,59 ST,456NQRW,09/18/2019,363228,211174,09/17/2019,359804.0,209135.0,3424.0,2039.0
27113,R245A,R051,01-00-01,59 ST,456NQRW,09/19/2019,366672,213148,09/18/2019,363228.0,211174.0,3444.0,1974.0
27114,R245A,R051,01-00-01,59 ST,456NQRW,09/20/2019,370106,215293,09/19/2019,366672.0,213148.0,3434.0,2145.0
27116,R245A,R051,01-00-02,59 ST,456NQRW,09/15/2019,227874,438788,09/14/2019,226932.0,437187.0,942.0,1601.0
27117,R245A,R051,01-00-02,59 ST,456NQRW,09/16/2019,228647,440130,09/15/2019,227874.0,438788.0,773.0,1342.0
27118,R245A,R051,01-00-02,59 ST,456NQRW,09/17/2019,230797,444228,09/16/2019,228647.0,440130.0,2150.0,4098.0
27119,R245A,R051,01-00-02,59 ST,456NQRW,09/18/2019,233194,448384,09/17/2019,230797.0,444228.0,2397.0,4156.0
27120,R245A,R051,01-00-02,59 ST,456NQRW,09/19/2019,235531,452292,09/18/2019,233194.0,448384.0,2337.0,3908.0
27121,R245A,R051,01-00-02,59 ST,456NQRW,09/20/2019,237881,456421,09/19/2019,235531.0,452292.0,2350.0,4129.0
27123,R245A,R051,01-00-03,59 ST,456NQRW,09/15/2019,3063045,6216645,09/14/2019,3062596.0,6215580.0,449.0,1065.0
27124,R245A,R051,01-00-03,59 ST,456NQRW,09/16/2019,3063437,6217463,09/15/2019,3063045.0,6216645.0,392.0,818.0
27125,R245A,R051,01-00-03,59 ST,456NQRW,09/17/2019,3064868,6221181,09/16/2019,3063437.0,6217463.0,1431.0,3718.0
27126,R245A,R051,01-00-03,59 ST,456NQRW,09/18/2019,3066464,6224883,09/17/2019,3064868.0,6221181.0,1596.0,3702.0
27127,R245A,R051,01-00-03,59 ST,456NQRW,09/19/2019,3068100,6228543,09/18/2019,3066464.0,6224883.0,1636.0,3660.0
27128,R245A,R051,01-00-03,59 ST,456NQRW,09/20/2019,3069792,6232233,09/19/2019,3068100.0,6228543.0,1692.0,3690.0
27130,R245A,R051,01-06-00,59 ST,456NQRW,09/15/2019,3361420,4732909,09/14/2019,3361255.0,4732824.0,165.0,85.0
27131,R245A,R051,01-06-00,59 ST,456NQRW,09/16/2019,3361527,4732985,09/15/2019,3361420.0,4732909.0,107.0,76.0
27132,R245A,R051,01-06-00,59 ST,456NQRW,09/17/2019,3361848,4734017,09/16/2019,3361527.0,4732985.0,321.0,1032.0
27133,R245A,R051,01-06-00,59 ST,456NQRW,09/18/2019,3362338,4735186,09/17/2019,3361848.0,4734017.0,490.0,1169.0
27134,R245A,R051,01-06-00,59 ST,456NQRW,09/19/2019,3362788,4736397,09/18/2019,3362338.0,4735186.0,450.0,1211.0
