,C/A,UNIT,SCP,STATION,LINENAME,DATE,ENTRIES,EXITS,PREV_DATE,PREV_ENTRIES,PREV_EXITS,DIFF_ENTRIES,DIFF_EXITS,stationline,Latitude,Longitude
88,A077,R028,03-03-01,FULTON ST,2345ACJZ,09/19/2019,1309605312,537752833,09/18/2019,1309604623.0,537752158.0,689.0,675.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
89,A077,R028,03-03-01,FULTON ST,2345ACJZ,09/20/2019,1309606052,537753510,09/19/2019,1309605312.0,537752833.0,740.0,677.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
90,A077,R028,03-03-02,FULTON ST,2345ACJZ,09/15/2019,1662375746,1141572953,09/14/2019,1662375380.0,1141572574.0,366.0,379.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
91,A077,R028,03-03-02,FULTON ST,2345ACJZ,09/16/2019,1662376062,1141573274,09/15/2019,1662375746.0,1141572953.0,316.0,321.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
92,A077,R028,03-03-02,FULTON ST,2345ACJZ,09/17/2019,1662377177,1141573756,09/16/2019,1662376062.0,1141573274.0,1115.0,482.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
93,A077,R028,03-03-02,FULTON ST,2345ACJZ,09/18/2019,1662378276,1141574307,09/17/2019,1662377177.0,1141573756.0,1099.0,551.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
94,A077,R028,03-03-02,FULTON ST,2345ACJZ,09/19/2019,1662379441,1141574815,09/18/2019,1662378276.0,1141574307.0,1165.0,508.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
95,A077,R028,03-03-02,FULTON ST,2345ACJZ,09/20/2019,1662380596,1141575373,09/19/2019,1662379441.0,1141574815.0,1155.0,558.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
96,A081,R028,04-00-00,FULTON ST,2345ACJZ,09/15/2019,183153,1125919,09/14/2019,183053.0,1125395.0,100.0,524.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
97,A081,R028,04-00-00,FULTON ST,2345ACJZ,09/16/2019,183252,1126321,09/15/2019,183153.0,1125919.0,99.0,402.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
98,A081,R028,04-00-00,FULTON ST,2345ACJZ,09/17/2019,183423,1127144,09/16/2019,183252.0,1126321.0,171.0,823.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
99,A081,R028,04-00-00,FULTON ST,2345ACJZ,09/18/2019,183646,1128034,09/17/2019,183423.0,1127144.0,223.0,890.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
100,A081,R028,04-00-00,FULTON ST,2345ACJZ,09/19/2019,183841,1128932,09/18/2019,183646.0,1128034.0,195.0,898.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
101,A081,R028,04-00-00,FULTON ST,2345ACJZ,09/20/2019,184038,1129813,09/19/2019,183841.0,1128932.0,197.0,881.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
102,A081,R028,04-00-01,FULTON ST,2345ACJZ,09/15/2019,384238,811512,09/14/2019,384061.0,811159.0,177.0,353.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
103,A081,R028,04-00-01,FULTON ST,2345ACJZ,09/16/2019,384413,811842,09/15/2019,384238.0,811512.0,175.0,330.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
104,A081,R028,04-00-01,FULTON ST,2345ACJZ,09/17/2019,384628,812368,09/16/2019,384413.0,811842.0,215.0,526.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
105,A081,R028,04-00-01,FULTON ST,2345ACJZ,09/18/2019,384890,813000,09/17/2019,384628.0,812368.0,262.0,632.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
106,A081,R028,04-00-01,FULTON ST,2345ACJZ,09/19/2019,385125,813566,09/18/2019,384890.0,813000.0,235.0,566.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
107,A081,R028,04-00-01,FULTON ST,2345ACJZ,09/20/2019,385406,814209,09/19/2019,385125.0,813566.0,281.0,643.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
108,A081,R028,04-00-02,FULTON ST,2345ACJZ,09/15/2019,692607,1441652,09/14/2019,692363.0,1441044.0,244.0,608.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
109,A081,R028,04-00-02,FULTON ST,2345ACJZ,09/16/2019,692861,1442171,09/15/2019,692607.0,1441652.0,254.0,519.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
110,A081,R028,04-00-02,FULTON ST,2345ACJZ,09/17/2019,693212,1443114,09/16/2019,692861.0,1442171.0,351.0,943.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
111,A081,R028,04-00-02,FULTON ST,2345ACJZ,09/18/2019,693580,1444195,09/17/2019,693212.0,1443114.0,368.0,1081.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
112,A081,R028,04-00-02,FULTON ST,2345ACJZ,09/19/2019,693907,1445260,09/18/2019,693580.0,1444195.0,327.0,1065.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
113,A081,R028,04-00-02,FULTON ST,2345ACJZ,09/20/2019,694321,1446345,09/19/2019,693907.0,1445260.0,414.0,1085.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
114,A081,R028,04-00-03,FULTON ST,2345ACJZ,09/15/2019,801088,2517947,09/14/2019,800699.0,2516719.0,389.0,1228.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
115,A081,R028,04-00-03,FULTON ST,2345ACJZ,09/16/2019,801404,2519012,09/15/2019,801088.0,2517947.0,316.0,1065.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
116,A081,R028,04-00-03,FULTON ST,2345ACJZ,09/17/2019,801890,2520803,09/16/2019,801404.0,2519012.0,486.0,1791.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
117,A081,R028,04-00-03,FULTON ST,2345ACJZ,09/18/2019,802400,2522665,09/17/2019,801890.0,2520803.0,510.0,1862.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
118,A081,R028,04-00-03,FULTON ST,2345ACJZ,09/19/2019,802888,2524558,09/18/2019,802400.0,2522665.0,488.0,1893.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
119,A081,R028,04-00-03,FULTON ST,2345ACJZ,09/20/2019,803418,2526491,09/19/2019,802888.0,2524558.0,530.0,1933.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
120,A081,R028,04-00-04,FULTON ST,2345ACJZ,09/15/2019,118698771,355726603,09/14/2019,118698105.0,355724518.0,666.0,2085.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
121,A081,R028,04-00-04,FULTON ST,2345ACJZ,09/16/2019,118699341,355728374,09/15/2019,118698771.0,355726603.0,570.0,1771.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
122,A081,R028,04-00-04,FULTON ST,2345ACJZ,09/17/2019,118700339,355731222,09/16/2019,118699341.0,355728374.0,998.0,2848.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
123,A081,R028,04-00-04,FULTON ST,2345ACJZ,09/18/2019,118701268,355734147,09/17/2019,118700339.0,355731222.0,929.0,2925.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
124,A081,R028,04-00-04,FULTON ST,2345ACJZ,09/19/2019,118702234,355737203,09/18/2019,118701268.0,355734147.0,966.0,3056.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
125,A081,R028,04-00-04,FULTON ST,2345ACJZ,09/20/2019,118703344,355740069,09/19/2019,118702234.0,355737203.0,1110.0,2866.0,FULTON ST 2345ACJZ station NYC,40.7098694,-74.00702540000002
