,ProjectID,BuildingID,Number,Street,Borough,Postcode,Latitude,Longitude,LowIncomeUnits
653,63885,357201.0,545,PROSPECT PLACE,Brooklyn,11238.0,40.6755,-73.958501,14
654,63887,885789.0,565,PROSPECT PLACE,Brooklyn,11238.0,40.67541,-73.958065,23
655,60212,971000.0,911,ATLANTIC AVENUE,Brooklyn,11238.0,40.680733000000004,-73.962565,68
656,60213,977267.0,1043,FULTON STREET,Brooklyn,11238.0,40.68208,-73.960163,15
657,64268,129100.0,4702,4 AVENUE,Brooklyn,11220.0,40.648065,-74.010926,6
658,64268,129256.0,5502,4 AVENUE,Brooklyn,11220.0,40.643582,-74.015596,3
659,64268,129281.0,5609,4 AVENUE,Brooklyn,11220.0,40.642989,-74.016183,6
660,64268,132170.0,4920,6 AVENUE,Brooklyn,11220.0,40.644179,-74.007711,15
661,64268,132173.0,4924,6 AVENUE,Brooklyn,11220.0,40.644162,-74.007729,7
662,64268,132239.0,5203,6 AVENUE,Brooklyn,11220.0,40.642562,-74.00936899999999,6
663,64268,132241.0,5207,6 AVENUE,Brooklyn,11220.0,40.642545,-74.009387,6
664,64268,132244.0,5211,6 AVENUE,Brooklyn,11220.0,40.642528999999996,-74.009401,5
665,64268,132246.0,5213,6 AVENUE,Brooklyn,11220.0,40.642521,-74.009412,6
666,64268,132262.0,5302,6 AVENUE,Brooklyn,11220.0,40.64201,-74.009967,22
667,64268,132263.0,5305,6 AVENUE,Brooklyn,11220.0,40.641994,-74.00995999999999,29
668,64268,132266.0,5314,6 AVENUE,Brooklyn,11220.0,40.641963,-74.010017,42
669,64268,132267.0,5319,6 AVENUE,Brooklyn,11220.0,40.641456,-74.010111,15
670,64268,153721.0,438,49 STREET,Brooklyn,11220.0,40.646429,-74.011016,8
671,64268,153723.0,441,49 STREET,Brooklyn,11220.0,40.646421000000004,-74.01096899999999,15
672,64268,154413.0,558,50 STREET,Brooklyn,11220.0,40.644351,-74.009084,15
673,64268,155057.0,448,51 STREET,Brooklyn,11220.0,40.645213,-74.01202099999999,7
674,64268,155085.0,523,51 STREET,Brooklyn,11220.0,40.644146,-74.010216,7
675,64268,156542.0,334,53 STREET,Brooklyn,11220.0,40.645465,-74.015463,11
676,64268,157212.0,224,54 STREET,Brooklyn,11220.0,40.646425,-74.018558,6
677,64268,157946.0,213,55 STREET,Brooklyn,11220.0,40.645992,-74.019322,6
678,64268,157947.0,217,55 STREET,Brooklyn,11220.0,40.645956,-74.019261,6
679,64268,158025.0,370,55 STREET,Brooklyn,11220.0,40.644079,-74.016183,3
680,64268,158857.0,565,56 STREET,Brooklyn,11220.0,40.640945,-74.01247099999999,5
681,64268,807379.0,5205,6 AVENUE,Brooklyn,11220.0,40.642554,-74.009376,6
682,64268,807380.0,5301,6 AVENUE,Brooklyn,11220.0,40.642007,-74.00994200000001,6
683,64268,807448.0,323,43 STREET,Brooklyn,11232.0,40.65118,-74.009795,15
684,64268,807457.0,440,49 STREET,Brooklyn,11220.0,40.646409999999996,-74.010984,8
685,64268,807458.0,444,49 STREET,Brooklyn,11220.0,40.646371,-74.010922,15
686,64268,807463.0,218,54 STREET,Brooklyn,11220.0,40.64648,-74.018652,6
687,64268,807464.0,220,54 STREET,Brooklyn,11220.0,40.646460999999995,-74.018623,6
688,64268,807466.0,374,55 STREET,Brooklyn,11220.0,40.644046,-74.016133,3
689,64268,810035.0,364,55 STREET,Brooklyn,11220.0,40.644123,-74.016262,3
690,64268,810036.0,368,55 STREET,Brooklyn,11220.0,40.644093,-74.01620799999999,3
691,64268,810047.0,5209,6 AVENUE,Brooklyn,11220.0,40.642537,-74.009394,6
692,64268,837522.0,4902,6 AVENUE,Brooklyn,11220.0,40.64425,-74.007636,7
693,64268,837574.0,517,49 STREET,Brooklyn,11220.0,40.64532,-74.009146,8
694,64268,837576.0,4906,6 AVENUE,Brooklyn,11220.0,40.644234000000004,-74.007654,16
695,64268,837791.0,549,49 STREET,Brooklyn,11220.0,40.645018,-74.008645,8
696,64268,837792.0,317,43 STREET,Brooklyn,11232.0,40.651227,-74.009874,8
697,64268,854991.0,378,55 STREET,Brooklyn,11220.0,40.644016,-74.016082,3
698,58667,822620.0,140,JOHNSON AVENUE,Brooklyn,11206.0,40.706491,-73.94416700000001,22
699,61627,299254.0,218,GATES AVENUE,Brooklyn,11238.0,40.685321,-73.958297,14
